blkgrp,area_median_income,ht_rent
'110010015005',89826,73.07938625
'110010016001',89826,30.16975625
'110010016002',89826,53.0033275
'110010016003',89826,56.194695
'110010016004',89826,69.06806875
'110010017021',89826,55.96907375
'110010017022',89826,54.00129
'110010018031',89826,46.3728125
'110010018032',89826,43.13193875
'110010018041',89826,47.1685425
'110010018042',89826,44.98703625
'110010018043',89826,43.15264375
'110010019011',89826,52.78213875
'110010019012',89826,51.3240475
'110010019013',89826,45.11641625
'110010019014',89826,53.59274625
'110010019021',89826,56.87374125
'110010019022',89826,47.30931
'110010020011',89826,43.0217375
'110010020012',89826,47.0966625
'110010020021',89826,16.55308
'110010020022',89826,43.75958875
'110010020023',89826,53.31579
'110010021011',89826,43.902845
'110010021012',89826,46.65547625
'110010021013',89826,56.7977025
'110010021014',89826,45.0503475
'110010021015',89826,55.88300625
'110010021021',89826,50.70692
'110010021022',89826,38.54100125
'110010021023',89826,43.50617125
'110010021024',89826,39.5624575
'110010021025',89826,48.4784925
'110010021026',89826,46.10905625
'110010022011',89826,68.59632375
'110010022012',89826,33.94076
'110010022013',89826,52.80955375
'110010022021',89826,49.6749125
'110010022022',89826,50.40378
'110010022023',89826,57.09564625
'110010023011',89826,60.54733125
'110010023012',89826,47.05471
'110010023021',89826,54.43646875
'110010024001',89826,37.86601625
'110010024002',89826,54.77525375
'110010024003',89826,58.34165
'110010024004',89826,54.74258625
'110010025011',89826,46.29747375
'110010025012',89826,44.9933175
'110010025021',89826,45.1069575
'110010025022',89826,47.2876575
'110010025023',89826,63.0721325
'110010025024',89826,47.14645875
'110010026001',89826,53.150215
'110010026002',89826,82.483855
'110010027011',89826,49.0169075
'110010027012',89826,51.70244625
'110010027013',89826,55.47414125
'110010027014',89826,42.4252175
'110010027021',89826,44.88315875
'110010027022',89826,50.8271
'110010027023',89826,51.1311675
'110010028011',89826,48.84001125
'110010028012',89826,40.733725
'110010028021',89826,46.02389125
'110010028022',89826,47.98526625
'110010029001',89826,49.4262975
'110010029002',89826,49.07810625
'110010030001',89826,48.668925
'110010030002',89826,49.43492125
'110010031001',89826,48.71465375
'110010032001',89826,55.11870625
'110010032002',89826,41.76532
'110010032003',89826,48.4867
'110010032004',89826,53.15317125
'110010033011',89826,55.73426
'110010033012',89826,53.0560125
'110010033013',89826,53.7710575
'110010033021',89826,50.8786475
'110010033022',89826,54.63838125
'110010034001',89826,48.6409475
'110010034002',89826,51.24180625
'110010035001',89826,51.34286625
'110010035002',89826,34.240525
'110010036001',89826,49.04943875
'110010036002',89826,51.63745875
'110010036003',89826,50.98069
'110010037001',89826,49.5522225
'110010037002',89826,47.72336125
